Text,X,Y,Width,Height,Score,Page
国多重的，多樣的,228.5,113.5,81,13,0.8361109125382071,102
many/fold,104.5,126.5,53,17,0.8773498413280495,102
圆multiplicity多性,237.0,128.5,98,13,0.9182890505550636,102
■ The inventor holds multiple patents.,105.5,149.5,171,13,0.8690311077545703,102
這位验明家有多项再利,80.0,163.0,102,10,0.9477800526947249,102
■ All the questions in the quiz will be in multiple choice.,147.5,184.5,253,13,0.9675808856460458,102
小考中所有的题目都是還题,87.0,198.5,114,9,0.8288175726885858,102
"multilateral [,maltr°laetorol]",74.0,234.5,132,13,0.8128538184195461,102
multi / later / al,104.0,255.5,72,11,0.9613117038582761,102
多的：多方的,229.0,263.5,82,13,0.9454659791213033,102
many/side/形容字尾,120.0,269.5,100,13,0.8200918741108678,102
■ The G20 is a multilateral summit.,101.0,291.5,160,13,0.8092099172090119,102
G20是多退高峰,68.5,305.5,79,13,0.7933697463488112,102
"multilingual (,mAltlrggwol)",77.0,330.5,138,13,0.882829895010218,102
multi / lingua / al,104.0,349.0,80,14,0.8591416199225932,102
国多语的,210.5,356.5,41,11,0.8044509537283642,102
many/tonguc/形容同字尾,120.0,362.5,112,15,0.8227638440688525,102
Singapore is a multilingual nation,106.5,385.5,155,13,0.9555262288950179,102
新加坡是一固多语属家,76.0,399.0,92,10,0.7945082867922681,102
"multiply [°malto,plar]",59.5,424.5,103,13,0.7860179889691542,102
繁殖：增加：乘,230.0,444.5,82,13,0.8720433881468798,102
multi / ple / y,104.0,445.0,64,14,0.8042633454721347,102
many/fold/動柯字尾,118.5,458.5,91,13,0.8085357605776792,102
multiplication（名繁延：潢加：乘法,266.0,459.5,152,13,0.9507922005780913,102
"•""Be fruitful and multiply.",85.5,479.5,127,13,0.8286972128237733,102
「要结果育、多子多。」,79.0,493.5,98,13,0.7342935924845037,102
"■ Multiply the cost by 5%, and that’s the tax you have to pay",158.5,513.5,275,15,0.8628035558633872,102
售要乘5%就是你越付的校额,90.5,527.0,117,10,0.794408707208215,102
MP3059,53.5,14.0,57,24,0.8712090764959651,103
"multitude (malto,tjud)",81.0,53.0,106,16,0.8409902404488914,103
multi / (t)ude,119.5,73.5,63,17,0.8091293132399789,103
聚多：大家，多数人,248.0,73.5,96,13,0.8852885019387822,103
many/名同字尾,122.0,85.5,68,17,0.9750062526364265,103
国multitudinous聚多的,252.5,86.5,109,17,0.7497525437908673,103
■ The reporters asked a multitude of questions.,139.0,106.0,202,18,0.8498470112645751,103
記者間了許多問题,86.0,120.5,74,11,0.9359366529127012,103
■ The President must consider the multitude instead of the few.,174.0,137.5,270,15,0.8778900032474443,103
得為大象著想，不能只考少数人,123.0,152.5,148,13,0.882963096690825,103
poly-: many,63.5,196.0,77,20,0.7871509355545535,103
polygamy [po°lsgomt],79.5,220.5,101,17,0.8767465577193229,103
poly/ gam/ y,119.0,240.5,66,17,0.7594850791992549,103
多婚制（一夫多要或一要多夫）,263.5,240.5,127,13,0.9551998464222291,103
many/marriage/名同字尾,128.5,253.5,109,17,0.8252834839294516,103
polygamous 多婚制的,254.0,255.0,110,14,0.820564986848992,103
■ American Mormons used to practice polygamy,144.0,273.5,212,15,0.9269052604270845,103
美摩門教徒前實行多婚制·,106.0,288.0,114,10,0.8693029429848999,103
"polygon [palt,gan]",73.0,318.5,90,17,0.8405836054381173,103
多形,219.5,337.5,45,21,0.7955095637334353,103
poly/agon,119.5,338.0,55,20,0.7826260924071341,103
many/angle,117.0,351.0,56,14,0.8496343259880733,103
polygonal多遭形的,249.0,351.5,102,17,0.8772272320352944,103
"• Pentagons, hexagons and octagons are all polygons",154.0,370.5,228,13,0.9188860807420417,103
五角形、六角形、八角形都於多遗形·,124.0,384.5,150,13,0.8627568784360351,103
"polygraph [ polt,gref]",81.5,405.5,105,17,0.7507031916788763,103
poly/graph,119.0,425.0,58,18,0.6889739706748088,103
測陵（機）,227.0,431.5,58,17,0.7849983235233451,103
many/write,116.0,437.5,58,17,0.8350962211674862,103
● I'm willing to take a polygraph to prove my innocence.,160.5,457.5,247,19,0.7710703734277194,103
我意接受测以明我的清白,110.5,470.5,121,9,0.8288664412260514,103
"polymath [palt,me9]",79.5,490.5,101,17,0.8707778520798415,103
poly/math,119.0,510.75,58,23,0.828426994433159,103
图多才多藝者：博學的人,252.0,517.5,106,13,0.8007062092926813,103
many/skill,115.5,523.5,55,17,0.8242081554147301,103
Part1通用学衡字：依字首分期,308.0,11.0,134,10,0.6730073742634688,104
• Leonardo da Vinci was a true polymath,113.5,61.25,187,15,0.829786203613339,104
李奥納多·達文西是個真正的萬事通。,103.0,75.5,146,13,0.8697291442691091,104
omni-:all,38.5,122.5,63,17,0.7771570189919378,104
"omnipresent [,amntprczot]",74.0,149.0,132,14,0.8773004260091554,104
omni / present,103.5,168.5,69,17,0.8891522355700785,104
国無所不在的,219.0,170.0,62,14,0.9536209266488661,104
all / present,108.5,182.5,55,17,0.8461412821084174,104
国omnipresence名無所不在,249.5,184.0,123,14,0.8188485668985984,104
• The omnipresent noise of the city is driving me crazy.,146.0,203.75,248,17,0.717927316947596,104
城市裡無所不在的噪逼得我快發痛,102.0,218.5,144,13,0.8593830094364435,104
omnipotence [am’nspotns],72.0,255.5,132,19,0.8520770693809704,104
omni / potence,103.0,274.5,72,17,0.832903959815704,104
無所不能,214.5,276.0,53,14,0.8719639690056542,104
all / power,105.5,290.0,51,16,0.8275653548935386,104
国omnipotent图無所不能的,248.0,291.0,118,14,0.8234852410561474,104
■Omnipotence is an attribute of God.,106.0,311.5,170,13,0.8369107669065108,104
無所不能，遇是神的特質,82.5,325.5,105,13,0.7741256542365993,104
omniscient (om'nrjont),63.5,348.25,115,18,0.8558931515293553,104
omni / sci / ent,104.5,369.0,71,14,0.9530923272141758,104
無所不知的,219.5,369.0,63,14,0.7728209233071985,104
all/know/形容字尾,124.5,382.5,93,13,0.7430396212478091,104
园omniscience名無所不知,247.0,384.5,116,13,0.8551671813302186,104
■ The novel employs the third-person omniscient narrator.,151.0,405.5,260,15,0.7375357800858056,104
遇本小就操用的是第三人稿的全知事角度,116.5,419.5,173,13,0.7818174697445797,104
"omnivore [amno,vxr]",60.5,443.5,107,15,0.8039328396572549,104
omni / vore,103.5,464.0,55,14,0.8738872401875916,104
食性動物,219.5,465.0,63,14,0.8144844026361886,104
all / swallow,117.5,477.5,55,13,0.8501787445865838,104
国omnivorous食性的,245.5,479.0,113,14,0.9508144536348818,104
"■ Tigers are carnivores and sheep are herbivores; monkeys, on the other",182.5,499.5,319,13,0.8187177463784161,104
"hand, are omnivores.",77.5,513.5,95,13,0.7999227811765066,104
老虎是肉食性動物·棉羊是草食性動物·猴子是雜食性動物·,151.0,526.5,240,13,0.9841070653509724,104
表示「数字」的字首,203.5,21.0,243,30,0.8793069935941195,105
MP3061,51.0,72.5,62,25,0.7416308523496105,105
"semi-(demi-,hemi-):hlf",106.0,108.5,168,23,0.8133582763413236,105
"semicircle [s:m1,s3k]",80.0,137.0,110,14,0.7976553036762574,105
semi/circle,124.0,159.0,64,18,0.8656623413621941,105
图半形,235.5,166.25,47,17,0.9685669732856609,105
half /circle,125.0,172.75,58,20,0.8772913110498339,105
■ The teacher told the students to form a semicircle before him.,185.5,195.5,297,13,0.77383890200007,105
老師叫學生在他面前圖成半圈,109.5,210.5,125,13,0.8819372749046742,105
"demigod (° d:mo,gad)",77.5,249.0,107,20,0.8713570111688265,105
demi/ god,124.5,270.5,59,21,0.8590259283502885,105
半人半神：如神般受人崇拜者,286.5,279.0,143,10,0.8213070893929485,105
half / god,125.0,285.5,52,21,0.895041540110104,105
■ Great athletes are like demigods to fans.,135.5,308.0,199,18,0.8055284893775738,105
偉大的運動員在崇拜者心目中有如神一般,133.5,323.5,173,13,0.8429459351437981,105
"hemisphere (hmos,fir)",86.5,349.0,125,20,0.9816228853943555,105
hemi/sphere,124.0,369.0,70,20,0.8876617897689963,105
图半球,231.5,377.5,37,15,0.74994323530141,105
half /sphere,125.5,385.0,61,20,0.8376588753340095,105
Cyclones move counterclockwise in the northerm hemisphere,187.5,408.0,293,14,0.8374640747075532,105
氣旋在北半球是逆時针方同旋转,113.5,423.0,131,10,0.8392292219085387,105
"semiannual (,s:mt anjual)",91.0,449.0,132,14,0.8624879155614832,105
semi / annu / al,124.5,469.0,77,16,0.885043952614069,105
半年一次的,246.5,477.0,67,16,0.8506379977843359,105
half/year/形容字尾,143.5,482.5,101,17,0.8457871125065645,105
■ Welcome to our semiannual conference!,136.0,504.0,202,18,0.6265565253595801,105
歡迎范疆我们的半年會！,97.0,520.5,100,13,0.9081459641279682,105
Part1通用學字巢：依字首分期,308.5,11.5,137,13,0.7946723562226744,106
0,16.0,22.0,20,18,0.7869336354072418,106
MP3062,41.0,24.5,42,15,0.8697693535210729,106
semiconductor LstmikandAkt>],86.0,64.0,156,12,0.9814315033880503,106
semi /con / duct/or,104.0,83.5,96,15,0.8404001228368053,106
半,210.0,92.0,44,14,0.977838845961948,106
half/together/lead/名字尾,107.0,97.5,126,15,0.8271247557947273,106
■ Taiwan has a highly advanced semiconductor industry.,148.0,120.5,254,13,0.9143077315076401,106
台湾的半尊體產相當發達。,86.5,134.0,111,10,0.6833553920087241,106
"semifinal [,scmtfain]",60.5,158.5,105,13,0.7589350821517088,106
semi / fin / al,104.5,179.0,63,14,0.8257684718456243,106
園决赛的,215.0,187.0,54,14,0.938305435932818,106
图决赛,269.5,187.0,45,14,0.9555930297852805,106
half/end/形容润字尾,123.5,193.5,91,13,0.8398176660081623,106
The semifinal game begins at eight tonight.,124.0,214.5,200,15,0.8903568185708343,106
決赛今晚八時開打,73.5,229.0,85,10,0.7855122104162808,106
"• If we win the semifinal, we will have a good chance of winning First",178.0,249.0,316,14,0.8255409673551588,106
Place.,44.5,264.5,29,11,0.8206288149733832,106
我們要是赢了決·拿冠軍的算就很大了,120.5,278.0,179,10,0.9798576075350865,106
mono-:one,44.0,326.0,76,18,0.7507415200093122,106
monotonous [manatanas],71.5,351.0,125,10,0.8813903747816636,106
mono /ton/ous,104.5,370.5,75,11,0.8637690079491235,106
围單調的,211.0,371.0,44,14,0.7713448183070889,106
one/tone/形容属字尾,121.0,384.5,92,13,0.8476688487054922,106
monotone單,233.5,385.5,89,15,0.8752951006322693,106
■The lecturer spoke in a monotonous voice.,121.5,406.5,199,15,0.9212246665941938,106
清满人脱話的语腾很單調,82.0,421.0,100,10,0.7987968951303245,106
monarchy [manoks],61.0,458.5,104,13,0.7704835661651803,106
mono / arch / y,105.0,478.5,70,13,0.8595388763256976,106
帝制·君主制,226.0,478.5,72,13,0.7688196260808933,106
one/rule/名词字尾,125.5,492.0,81,10,0.9451683555506752,106
国monarch图帝王·君主,244.5,493.5,109,13,0.7105659748988857,106
■ The British political system is one of constitutional monarchy.,165.0,513.5,286,13,0.7432245073782628,106
英國的政治體制是君主立制,90.5,527.0,119,10,0.7936261247744253,106
MP3063,50.5,14.25,59,25,0.7212171418012459,107
monogamy (mo’nagoms),83.0,55.0,114,14,0.8951336683338673,107
一夫一麦制,236.0,74.5,48,13,0.8502771461026041,107
mono/ gam/y,116.5,75.0,71,16,0.7998833406430164,107
名,205.5,75.5,7,7,0.8102943747714451,107
one/marriage/名同字尾,135.5,87.5,103,17,0.9139558858265775,107
国monogamous一夫一要的,261.5,88.5,129,17,0.9335234536284628,107
● Monogamy is the norm in modern society.,133.5,108.0,193,16,0.9815438786295779,107
现代社會中，一夫一麦是常,104.5,122.5,117,13,0.9578322916058823,107
"monologue [mano,l>g]",80.0,146.0,112,18,0.8408066806838509,107
mono/logue,117.0,166.0,66,20,0.8255222294848404,107
白,215.0,172.5,38,21,0.7610487268454151,107
one/speak,121.5,180.0,55,18,0.7763891890840002,107
"■ Whenever I visit my grandfather, I have to listen to a monologue on",187.5,199.5,301,15,0.7843802776799041,107
what he did in his youth.,100.0,214.0,108,14,0.8380909506176938,107
每次我去看新能的時候·都得他大年跨的往事·,146.0,227.0,198,10,0.7411792104713375,107
sol-:one,52.5,273.0,59,18,0.9442907639137573,107
solo [solo],51.5,297.5,55,17,0.9524228540957783,107
單人表演,225.5,318.0,53,18,0.9699791612248346,107
sol/o,118.5,318.5,33,17,0.8665269243914766,107
one/名同字尾,129.0,330.5,60,17,0.7528560140051272,107
單人表演的：單的,247.5,331.0,99,16,0.7723996759779266,107
"● The dancer performed a solo, accompanied by the piano.",163.5,350.5,255,19,0.9130549997907887,107
舞給家演出一支舞·由調梦伴爽·,112.5,364.5,135,15,0.8386132916891559,107
■ Charles Lindbergh’s solo flight across the Atlantic won him lasting,186.0,384.5,298,15,0.8680301347319858,107
fame.,59.5,398.5,29,15,0.850376551813903,107
林白單人越大西洋·得了不朽的名聲·,125.5,412.5,159,13,0.7187521321385937,107
"consolidate [kan salo,det]",84.5,447.5,117,13,0.7810332594685667,107
con/sol/idate,116.0,466.5,70,13,0.7298200080135719,107
周：合供,230.0,466.5,60,13,0.7557974121631792,107
consolidation第固：合供,261.0,479.75,124,15,0.8702598136917847,107
together/one/勤字尾,114.0,480.0,100,20,0.6923465573787689,107
● The new CEO consolidated his power by inserting his people into key,192.0,500.0,310,18,0.8610756739099968,107
positions.,68.0,515.0,44,14,0.954889921322266,107
新任缺行長固地的權力·做法是安插自己的人馬出任要哦,159.0,528.0,226,14,0.7574955843689465,107
Part1通用學画字：字首分,305.0,10.0,130,10,0.8329103564870349,108
,22.5,21.5,21,17,0.7815258240370129,108
MP3 064,47.0,24.0,38,14,0.9458262980886195,108
• The two companies consolidated to be more competitive.,153.5,60.5,255,13,0.8304958837293323,108
温兩家公司合供·是為了加被手力,105.0,73.25,142,12,0.8668649728098119,108
sole [sol],34.5,95.0,45,14,0.8406381501920401,108
sole,106.5,115.0,23,16,0.836021601639945,108
唯一的：單的,227.5,122.5,79,13,0.8323834399542441,108
one,106.5,129.0,19,12,0.848305307251889,108
■ The man was the solc survivor of the plane crash.,137.0,149.5,224,15,0.9639112472410003,108
此人是機意外的唯一停存者。,93.5,164.0,117,10,0.761606441952715,108
soliloquy [solslokws],63.0,185.5,102,15,0.6444052855824015,108
sol(i) / loqu / y,105.5,205.0,67,18,0.9557814588566033,108
日白,205.0,205.5,34,13,0.844894045919528,108
one/speak/名润字尾,123.5,218.5,87,13,0.9332832945510744,108
soliloquize蜀白,233.0,220.0,88,14,0.8755493143440357,108
■ Most people are familiar with the famous soliloquy that begins *To be,183.0,239.5,312,13,0.9184799821919524,108
"or not to be.""",63.5,253.0,59,12,0.8948086259311887,108
大多数人封Tobeornottobe魔始的那段著名白都很熟悉·,148.5,268.0,227,10,0.826314691540987,108
"solitude [sala,tjud]",58.0,289.5,92,13,0.7958916132911595,108
sol / itude,106.5,309.0,47,14,0.7776404136622797,108
图處,205.5,310.0,35,14,0.9086780948273372,108
one/名字尾,110.5,322.5,57,11,0.8206306912162632,108
solitary 用單蜀的,230.5,323.5,83,13,0.8409060263280894,108
• I often go by myself to the mountains to enjoy the solitude.,158.0,342.25,264,16,0.7843077872669459,108
我常常一個人上山·去享受獨虑持光·,105.0,356.0,142,12,0.9483915490127401,108
uni-:one,40.5,402.0,59,18,0.7549531206130846,108
"uniform [juno,form]",62.0,426.5,98,15,0.9059796408959189,108
uni /form,106.0,446.25,50,17,0.8622652031944771,108
副一的·一致的,267.0,454.5,80,13,0.7816450532942593,108
制服,206.0,455.0,36,14,0.9824370163723938,108
one/ form,105.5,461.0,47,14,0.8898868062986164,108
• Students at that private school have to wear uniforms,147.5,480.5,239,13,0.7855260851412569,108
那家私校的学生得穿制服,85.0,495.0,100,10,0.8339749769584495,108
• These receptionists are all of uniform height.,128.0,514.5,204,13,0.728500723506871,108
這些接待員的身高都一致,85.0,528.5,102,13,0.8062941301479936,108
MP3065,52.5,14.0,57,22,0.8614799352992217,109
unanimous [ju'nenomos,84.5,53.5,115,13,0.8031978668616924,109
無翼的，意見一致的,255.0,72.5,98,13,0.8595739745321362,109
uni/anim/ous,118.0,73.0,72,16,0.7792891168687932,109
one/spirit/形容字尾,130.0,86.0,92,14,0.8707397314834033,109
国unanimity意见一致,249.5,87.0,101,14,0.9751873329477875,109
"• The bill had unanimous approval in Congress,",141.5,106.0,207,16,0.7439994350305434,109
法案在國會覆得一致支持,97.5,120.5,99,13,0.7936094050772811,109
unification [.junofo′kejon],86.5,143.0,117,14,0.7596101144773956,109
图统,212.5,164.0,25,12,0.8451248923059681,109
uni/fic/ation,118.5,164.5,69,17,0.7724578245368651,109
one/make/名字尾,122.5,177.0,85,14,0.7666646112072771,109
unity一,230.5,178.5,67,17,0.7860177126582218,109
 The unification of East and West Germany has been a success so far.,191.5,198.0,299,12,0.8501513901279019,109
東西德一，迄今相當成功,101.0,210.5,106,13,0.9023573953367148,109
"unilateral (,juntlaetoral]",82.5,234.5,111,17,0.9117375637501829,109
uni/later/al,118.5,253.5,63,17,0.8621828760865877,109
單的，单方面的,242.5,261.5,87,13,0.7624264545643464,109
one/side/形容同字尾,134.0,267.5,90,17,0.8947261181933092,109
■ The President declared a unilateral cut in nuclear warheads.,170.0,287.5,264,15,0.8060216377463219,109
宣告将片面减楼子弹頭的数量·,118.0,302.0,138,10,0.8774484879060764,109
union [°junjan],62.0,324.5,70,17,0.9065618710592389,109
uni/on,119.0,344.5,42,17,0.7876110450968411,109
图结合：工會,229.0,344.5,60,13,0.8529253934391676,109
one/名網字尾,127.5,357.25,61,20,0.8835790719963266,109
unite震结·结合,242.5,358.5,91,17,0.8078303762819721,109
■ Marriage should be the union of two people in love.,154.0,378.0,230,14,0.8234890415759641,109
婚战是兩售相爱的人的结合·,109.5,391.0,121,10,0.7092614284650023,109
"■ The US President traditionally delivers a *State of the Union"" address at",197.0,410.5,318,15,0.8646574073231023,109
the beginning of a new year.,108.0,425.5,124,15,0.7162316726027647,109
美國照例會在新年開頭宣「情咨文」,132.5,438.5,169,13,0.8334338697098681,109
● The labor union is a powerful organization.,135.5,458.0,193,14,0.7466295771589662,109
工会是假有力的组,89.5,470.5,81,9,0.8870091601910061,109
unique [ju°nik],64.0,493.5,74,17,0.9351978610344075,109
uni/ique,119.0,513.0,48,18,0.8182826111760633,109
一無二的,229.0,513.5,62,17,0.8379081591199445,109
one/形容同字尾,128.5,525.5,67,17,0.9780559553118008,109
uniqueness舞特性,249.0,527.0,100,14,0.7495073290087481,109
,23.5,21.5,19,17,0.8810717945435532,110
MP3066,47.0,23.5,36,11,0.8552769386561253,110
• Your handwriting is unique and easily recognizable,143.5,60.5,231,13,0.7000788412272655,110
你的董蛋一起二·很容易雄题,96.0,72.5,122,9,0.8727863212048576,110
bi-:two,36.0,118.0,48,18,0.9292969589611809,110
bilingual[bar*lngwa],65.5,143.0,99,10,0.7891037058711211,110
bi / lingua / al,106.0,163.0,64,16,0.8116434226293401,110
受語的,208.5,170.75,43,16,0.8400893967125624,110
wo/tongue/形容調字尾,119.0,175.5,98,13,0.7769509523966887,110
· This is a Chinese-English bilingual dictionary.,131.0,198.0,208,12,0.8991024145625887,110
温是本中英语字典·,77.0,211.0,82,10,0.8923616057903873,110
biennial [bat cnsol],58.5,246.5,89,13,0.7731342326595864,110
bi /enni / al,107.0,266.5,54,11,0.9310162166200047,110
围两年一次的,219.0,267.0,60,14,0.8113439260008599,110
two/year/形容词字尾,120.0,280.0,86,10,0.9454339083763632,110
图年展：二年生植物,237.0,281.5,96,13,0.7387280806467122,110
• There is a famous biennial art exhibition at Venice,141.0,300.0,226,10,0.8207811436289747,110
威尼斯有一個著名的雙年景,89.0,315.0,106,10,0.9742118068315364,110
The Taipei Biennial is getting better and better.,133.5,333.5,209,13,0.7520585244055837,110
台北年展愈游好了,80.5,347.0,89,10,0.8411666232978506,110
"• The plant is a biennial, flowering and dying in its second year.",165.0,366.5,276,15,0.9344583289405309,110
這是二年生植物，第二年開花、死亡,105.5,381.0,137,10,0.9659056862356601,110
bigamy [btgamt],56.0,405.0,82,14,0.7957256717999255,110
bi / gam / y,107.0,425.0,52,14,0.6670527242980585,110
重酒,204.5,431.0,33,14,0.8338069195276739,110
two/marriage/名字尾,117.5,437.5,99,13,0.8258490778031308,110
• Bigamy is a civil offense in Taiwan.,109.5,459.5,165,13,0.7993951788482979,110
重婚在台灣是民事罪·,77.5,472.5,81,9,0.9195377005760338,110
bilateral [barlatorol],63.5,495.5,99,13,0.7649664988781079,110
bi/ later/al,106.0,513.5,54,11,0.8179100418718636,110
的，方的,228.5,523.0,77,12,0.7809650165148468,110
two/side/形容字尾,120.0,528.0,86,10,0.8568492930317398,110
MP3067,47.5,14.0,59,22,0.7402227813560576,111
• This year’s Taiwan-American bilateral trade talks are going on at the,189.5,53.5,313,15,0.7590014169100789,111
International Conference Center.,114.5,67.0,147,14,0.7232450355926995,111
今年的台美雙清算易到正在際會中心泄行中,141.5,80.0,195,10,0.9704163992422679,111
binoculars [bo'nakjol>z],80.5,106.0,117,14,0.9342820859913316,111
简望速镜,230.0,126.0,62,14,0.8612346487876493,111
bi(n)/ocul/ars,116.0,126.5,78,17,0.8654911678223086,111
two/cye/名同字尾,129.0,140.5,82,17,0.7546954393843255,111
国binocular雙眼用的,254.0,141.0,110,14,0.8595964329087756,111
■ Binoculars are best for bird-watching whereas telescopes are ideal for,191.5,160.5,315,13,0.8749689061383009,111
observing heavenly bodies,102.5,175.0,121,14,0.7518866663453839,111
简望速镜最適合用來岛，單简望速鍵则適合觀星,146.0,190.5,206,13,0.866685638632459,111
"biped ['bar,pc:d]",57.5,214.0,73,18,0.9613205136041599,111
bi /ped,115.0,234.5,42,19,0.7901573106153793,111
斐足動物,224.5,241.0,55,16,0.91262704277846,111
two/food,113.5,247.5,47,15,0.7247104521482535,111
• Humans are bipeds whereas cows are quadrupeds.,148.5,269.5,229,13,0.844333271564392,111
人是定勤物·牛是四定動物,105.0,283.0,126,12,0.8168685060245429,111
du-(dou-): two,67.0,329.0,94,18,0.8672609479180678,111
duet [du²],50.0,354.0,56,14,0.8802627475443943,111
du/et,116.5,374.0,37,18,0.7462612715735213,111
雙人演出，二重奏（唱）,255.0,381.5,114,15,0.7143013885672276,111
two/名同字尾,125.0,387.5,62,17,0.7047761860358709,111
• The soprano and the alto sang a beautiful duet.,141.0,409.5,214,13,0.7535016915111084,111
女高普和女低普演出一首悦耳的登重,119.5,423.0,153,12,0.791430344286672,111
dual [°duol],50.5,459.5,59,17,0.8369751683835472,111
雙重的,225.0,479.0,36,14,0.840230008179145,111
du/al,116.0,479.5,36,17,0.850976716491446,111
two/形容字尾,129.5,492.0,67,14,0.7268356342442865,111
duality雯重性,240.0,493.5,84,17,0.7738392779215202,111
• The govermment official is attacked for holding dual citizenship,180.0,513.0,290,14,0.7638482297841075,111
還名政府官員因每持有重睡而遗到攻擎·,128.0,527.5,170,13,0.6490112268302111,111
Part1通用學字业：依字首分额,304.5,11.0,129,10,0.7796827507364142,112
"duplicate (°djuplt,ket) (°djuplokt]",87.0,61.25,146,15,0.972858775054793,112
du / plic / ate,106.5,81.0,61,14,0.9834688734734195,112
国裂,205.0,88.0,34,14,0.9907653382401062,112
覆裂品,248.5,88.0,43,14,0.9258872866271096,112
裂的,297.0,88.0,42,14,0.7939950914643455,112
two/fold/動字足,114.5,93.5,81,13,0.89483053435537,112
·A cell duplicates itself when it divides,115.0,115.0,174,10,0.8862767237133529,112
细胞分裂時會自我覆裂,80.0,128.5,92,13,0.8305780491696354,112
■ This painting is a duplicate of the original,122.0,148.5,192,13,0.8492012411960372,112
這幅毒是原作的視製品,80.0,162.0,90,10,0.9003076052970507,112
• The teacher handed out duplicate copies to all the students.,157.5,182.0,263,14,0.978147968827259,112
老師覆印的版本拍所有学生,93.5,197.0,115,10,0.8765785579951603,112
duplicity [dju’pltsots],64.5,220.0,99,14,0.7635596043358179,112
du / plic / ity,106.5,240.0,59,14,0.8184078090095332,112
