text,x,y,width,height,score,page,chinese_text,english_text,is_word,is_chinese,is_english,english_length,chinese_length,is_chinese_sentence,is_english_sentence,word,word_group
我爺爺終其一生是個文盲。,1897.0,9275.5,2012,191,0.8418512549541258,43,我爺爺終其一生是個文盲,。,False,True,False,12.0,11.0,True,False,我爺爺終其一生是個文盲。,2
anonymous [a nanomas],1611.5,9759.5,2355,237,0.9671514915399329,43,,anonymous [a nanomas],True,False,True,21.0,0.0,False,False,anonymous,2
anonymous [a nanomas],1611.5,9759.5,2355,237,0.9671514915399329,43,,anonymous [a nanomas],True,False,True,21.0,0.0,False,False,anonymous,3
匿名的,4554.5,10164.0,629,236,0.8623511314937763,43,匿名的,,False,True,False,3.0,3.0,False,False,匿名的,3
 an / onym / ous,2337.25,10164.5,1432,261,0.9038256949487634,43,, an / onym / ous,False,False,True,16.0,0.0,False,False, an / onym / ous,3
形,4166.0,10170.0,240,180,0.9006402554275815,43,形,,False,True,False,1.0,1.0,False,False,形,3
without/name/形容字尾,2377.0,10423.5,2194,191,0.893689101948997,43,形容字尾,without/name/,False,True,True,17.0,4.0,False,False,without/name/形容字尾,3
anonymity图匿名,4914.0,10462.5,1760,225,0.8151051339789963,43,图匿名,anonymity,False,True,True,12.0,3.0,False,False,anonymity图匿名,3
Part1通用學術字：依字首分類,6234.5,219.5,2801,237,0.9347782817952976,44,通用學術字依字首分類,Part1：,False,True,True,16.0,10.0,False,False,Part1通用學術字：依字首分類,3
MP3002,748.5,495.0,765,202,0.8777517450517134,44,,MP3002,False,False,True,6.0,0.0,False,False,MP3002,3
I never pay attention to anonymous letters.,2440.0,1288.0,3966,192,0.8745964398931658,44,,I never pay attention to anonymous letters.,False,False,True,43.0,0.0,False,True,I never pay attention to anonymous letters.,3
我來不理會匿名信。,1382.5,1575.0,1783,226,0.8985749450991845,44,我來不理會匿名信,。,False,True,False,9.0,8.0,False,False,我來不理會匿名信。,3
apathetic [epa θεt1k],1120.0,2081.0,2148,270,0.9701977151220946,44,,apathetic [epa θεt1k],True,False,True,21.0,0.0,False,False,apathetic,4
a / path / etic,2017.0,2514.0,1246,236,0.8592073122741413,44,,a / path / etic,False,False,True,15.0,0.0,False,False,a / path / etic,4
形冷漠的，不關心的,4703.0,2520.0,1840,224,0.8082595508375738,44,形冷漠的不關心的,，,False,True,False,9.0,8.0,False,False,形冷漠的，不關心的,4
without/feel/形容字尾,1988.5,2784.5,2171,191,0.8633663474051742,44,形容字尾,without/feel/,False,True,True,17.0,4.0,False,False,without/feel/形容字尾,4
apathy名冷漠,4548.5,2823.5,1531,225,0.857550470656021,44,名冷漠,apathy,False,True,True,9.0,3.0,False,False,apathy名冷漠,4
 You mustn't be apathetic about environmental protection.,3142.75,3245.5,5326,237,0.940042287617436,44,, You mustn't be apathetic about environmental protection.,False,False,True,57.0,0.0,False,True, You mustn't be apathetic about environmental protection.,4
關於環保，你干萬不能漠不關心。,1834.0,3549.5,2640,191,0.8428447671029141,44,關於環保你干萬不能漠不關心,，。,False,True,False,15.0,13.0,True,False,關於環保，你干萬不能漠不關心。,4
"Q: What's the difference between “ignorance"" and “apathy""?",3320.0,3982.5,5612,225,0.9315584811472806,44,,"Q: What's the difference between “ignorance"" and “apathy""?",False,False,True,58.0,0.0,False,True,"Q: What's the difference between “ignorance"" and “apathy""?",4
A: I don't know and I don't care.,2028.5,4291.5,3075,237,0.8348759571389399,44,,A: I don't know and I don't care.,False,False,True,33.0,0.0,False,True,A: I don't know and I don't care.,4
問：「無知」與「冷漠」有何不同？,1880.0,4595.5,2732,191,0.8579017844306127,44,問無知與冷漠有何不同,：「」「」？,False,True,False,16.0,10.0,False,False,問：「無知」與「冷漠」有何不同？,4
atheist[e011st],828.5,5394.0,1543,236,0.8761406289879232,44,,atheist[e011st],True,False,True,15.0,0.0,False,False,atheist,5
a / theo / ist,2034.0,5810.5,1166,237,0.9278693215629398,44,,a / theo / ist,False,False,True,14.0,0.0,False,False,a / theo / ist,5
图無神者,4325.5,5827.0,1109,270,0.9748561723623425,44,图無神者,,False,True,False,4.0,4.0,False,False,图無神者,5
without / god / person,1914.5,6108.75,1935,273,0.8690914510154539,44,,without / god / person,False,False,True,22.0,0.0,False,False,without / god / person,5
行atheism名無神,4697.0,6131.5,1806,225,0.8528248229773319,44,行名無神,atheism,False,True,True,11.0,4.0,False,False,行atheism名無神,5
He's an atheist and doesn't pray.,2011.5,6559.0,3063,248,0.9605272933919412,44,,He's an atheist and doesn't pray.,False,False,True,33.0,0.0,False,True,He's an atheist and doesn't pray.,5
他是個無神者，來不告。,1748.5,6845.5,2469,191,0.8845019429134011,44,他是個無神者來不告,，。,False,True,False,11.0,9.0,False,False,他是個無神者，來不告。,5
atrophy [atraf1],925.5,7357.5,1737,271,0.9825380318819156,44,,atrophy [atraf1],True,False,True,16.0,0.0,False,False,atrophy,5
 a / troph / y,2022.75,7762.5,1170,297,0.9553419478792048,44,, a / troph / y,False,False,True,14.0,0.0,False,False, a / troph / y,5
名勤菱縮,4257.0,7920.0,948,270,0.9782473527681496,44,名勤菱縮,,False,True,False,4.0,4.0,False,False,名勤菱縮,5
atrophy [atraf1],925.5,7357.5,1737,271,0.9825380318819156,44,,atrophy [atraf1],True,False,True,16.0,0.0,False,False,atrophy,6
 a / troph / y,2022.75,7762.5,1170,297,0.9553419478792048,44,, a / troph / y,False,False,True,14.0,0.0,False,False, a / troph / y,6
名勤菱縮,4257.0,7920.0,948,270,0.9782473527681496,44,名勤菱縮,,False,True,False,4.0,4.0,False,False,名勤菱縮,6
without/food/名字尾,2034.25,8026.5,2104,237,0.9538102213938352,44,名字尾,without/food/,False,True,True,16.0,3.0,False,False,without/food/名字尾,6
Astronauts returning from extended stays in zero gravity often suffer,3674.5,8499.5,6297,191,0.8139462884974649,44,,Astronauts returning from extended stays in zero gravity often suffer,False,False,True,69.0,0.0,False,True,Astronauts returning from extended stays in zero gravity often suffer,6
from muscular atrophy,1594.0,8797.5,2160,225,0.8851163457968483,44,,from muscular atrophy,False,False,True,21.0,0.0,False,False,from muscular atrophy,6
太空人長期處於零重力狀態，回來之後往往患有肌肉萎縮症。,2908.5,9084.5,4789,191,0.8849151491350425,44,太空人長期處於零重力狀態回來之後往往患有肌肉萎縮症,，。,False,True,False,27.0,25.0,True,False,太空人長期處於零重力狀態，回來之後往往患有肌肉萎縮症。,6
"After two months in the hospital, my leg muscles had atrophied.",3440.0,9500.5,5852,237,0.854958616793905,44,,"After two months in the hospital, my leg muscles had atrophied.",False,False,True,63.0,0.0,False,True,"After two months in the hospital, my leg muscles had atrophied.",6
住院兩個月之後，我的腿部肌肉已經萎縮了。,2291.5,9804.5,3531,191,0.8821995052726753,44,住院兩個月之後我的腿部肌肉已經萎縮了,，。,False,True,False,20.0,18.0,True,False,住院兩個月之後，我的腿部肌肉已經萎縮了。,6
MP3003,1148.5,315.0,743,202,0.9326170338292226,45,,MP3003,False,False,True,6.0,0.0,False,False,MP3003,6
infinite [mfonit],1286.0,1681.75,1614,261,0.8557329841954527,45,,infinite [mfonit],True,False,True,17.0,0.0,False,False,infinite,7
in / fin / ite,2348.75,2087.0,1044,262,0.9177906972417028,45,,in / fin / ite,False,False,True,14.0,0.0,False,False,in / fin / ite,7
形無限的，無的,4817.0,2120.5,1588,237,0.9089854386675236,45,形無限的無的,，,False,True,False,7.0,6.0,False,False,形無限的，無的,7
not/limit/形容字尾,2600.0,2373.5,1748,157,0.8405973399624861,45,形容字尾,not/limit/,False,True,True,14.0,4.0,False,False,not/limit/形容字尾,7
团infinity無限,4742.5,2407.5,1417,225,0.8551946316726119,45,团無限,infinity,False,True,True,11.0,3.0,False,False,团infinity無限,7
"With infinite patience, the teacher answered the same question for the",3966.0,2812.5,6080,225,0.8344887374395432,45,,"With infinite patience, the teacher answered the same question for the",False,False,True,70.0,0.0,False,True,"With infinite patience, the teacher answered the same question for the",7
fifth time.,1354.0,3093.5,880,203,0.8791107297482683,45,,fifth time.,False,False,True,11.0,0.0,False,False,fifth time.,7
老師以無限的耐心，第五度回答同樣的問題。,2594.0,3386.0,3314,158,0.8653647805308117,45,老師以無限的耐心第五度回答同樣的問題,，。,False,True,False,20.0,18.0,True,False,老師以無限的耐心，第五度回答同樣的問題。,7
illiterate [1'litor1t],1342.75,4100.75,1728,261,0.8858676044518412,45,,illiterate [1'litor1t],True,False,True,22.0,0.0,False,False,illiterate,7
il / liter / ate,2348.75,4494.25,1135,262,0.8078194100162364,45,,il / liter / ate,False,False,True,16.0,0.0,False,False,il / liter / ate,7
illiterate [1'litor1t],1342.75,4100.75,1728,261,0.8858676044518412,45,,illiterate [1'litor1t],True,False,True,22.0,0.0,False,False,illiterate,8
il / liter / ate,2348.75,4494.25,1135,262,0.8078194100162364,45,,il / liter / ate,False,False,True,16.0,0.0,False,False,il / liter / ate,8
名文盲,5520.0,4517.0,662,236,0.807910623388398,45,名文盲,,False,True,False,3.0,3.0,False,False,名文盲,8
形不識字的,4548.5,4522.5,1005,203,0.8078445085446525,45,形不識字的,,False,True,False,5.0,5.0,False,False,形不識字的,8
,5108.5,4528.5,137,79,0.9375459253490364,45,,,False,False,False,,,False,False,,8
not/letter/形容字尾,2537.0,4775.5,1806,191,0.8097566690930299,45,形容字尾,not/letter/,False,True,True,15.0,4.0,False,False,not/letter/形容字尾,8
衍illiteracy名不識字,4902.5,4803.5,1737,225,0.9640706216876528,45,衍名不識字,illiteracy,False,True,True,15.0,5.0,False,False,衍illiteracy名不識字,8
 You can't expect an old illiterate farmer to be familiar with Shakespeare.,4062.75,5214.5,6343,237,0.7972116043547186,45,, You can't expect an old illiterate farmer to be familiar with Shakespeare.,False,False,True,75.0,0.0,False,True, You can't expect an old illiterate farmer to be familiar with Shakespeare.,8
你不能指望一個不識字的老晨夫會懂莎士比亞。,2691.5,5501.5,3509,157,0.8716698496825307,45,你不能指望一個不識字的老晨夫會懂莎士比亞,。,False,True,False,21.0,20.0,True,False,你不能指望一個不識字的老晨夫會懂莎士比亞。,8
The man is an adult illiterate because he never went to school.,3617.0,5889.5,5406,191,0.8968299532234169,45,,The man is an adult illiterate because he never went to school.,False,False,True,63.0,0.0,False,True,The man is an adult illiterate because he never went to school.,8
immobilize [1 mob laiz],1646.0,6648.5,2286,225,0.935330149835518,45,,immobilize [1 mob laiz],True,False,True,23.0,0.0,False,False,immobilize,9
im / mob / ilize,2348.5,7048.25,1409,262,0.8843605708964962,45,,im / mob / ilize,False,False,True,16.0,0.0,False,False,im / mob / ilize,9
動使不能動彈,4634.5,7082.0,1223,236,0.8367015413625094,45,動使不能動彈,,False,True,False,6.0,6.0,False,False,動使不能動彈,9
not/move/動字尾,2451.0,7329.5,1680,191,0.7919507493186929,45,動字尾,not/move/,False,True,True,12.0,3.0,False,False,not/move/動字尾,9
行mobilize動動員,4817.25,7357.5,1568,249,0.9770504096160928,45,行動動員,mobilize,False,True,True,12.0,4.0,False,False,行mobilize動動員,9
"In his dream, the boy was immobilized with fear",3051.5,7768.0,4275,192,0.9185632833027056,45,,"In his dream, the boy was immobilized with fear",False,False,True,47.0,0.0,False,True,"In his dream, the boy was immobilized with fear",9
在睡夢中，小男孩害怕到不能動彈。,2251.5,8043.75,2675,203,0.8147578215632029,45,在睡夢中小男孩害怕到不能動彈,，。,False,True,False,16.0,14.0,True,False,在睡夢中，小男孩害怕到不能動彈。,9
impervious [1m p3v1s],1611.5,8533.0,2217,236,0.9606744333306804,45,,impervious [1m p3v1s],True,False,True,21.0,0.0,False,False,impervious,9
im / per / via / ous,2291.5,8915.5,1637,261,0.9856424344204175,45,,im / per / via / ous,False,False,True,20.0,0.0,False,False,im / per / via / ous,9
形不能渗透的；不受影響的,5200.0,9073.5,2308,191,0.8142273302269474,45,形不能渗透的不受影響的,；,False,True,False,12.0,11.0,True,False,形不能渗透的；不受影響的,9
impervious [1m p3v1s],1611.5,8533.0,2217,236,0.9606744333306804,45,,impervious [1m p3v1s],True,False,True,21.0,0.0,False,False,impervious,10
im / per / via / ous,2291.5,8915.5,1637,261,0.9856424344204175,45,,im / per / via / ous,False,False,True,20.0,0.0,False,False,im / per / via / ous,10
形不能渗透的；不受影響的,5200.0,9073.5,2308,191,0.8142273302269474,45,形不能渗透的不受影響的,；,False,True,False,12.0,11.0,True,False,形不能渗透的；不受影響的,10
not/through/way/形容字尾,2354.5,9196.5,2491,191,0.8551384694478892,45,形容字尾,not/through/way/,False,True,True,20.0,4.0,False,False,not/through/way/形容字尾,10
The plastic raincoat is impervious to water.,2806.0,9613.5,3760,191,0.8253485017313974,45,,The plastic raincoat is impervious to water.,False,False,True,44.0,0.0,False,True,The plastic raincoat is impervious to water.,10
這件塑膠雨衣不透水。,1760.0,9889.0,1646,158,0.894540325777001,45,這件塑膠雨衣不透水,。,False,True,False,10.0,9.0,False,False,這件塑膠雨衣不透水。,10
The best-selling author is impervious to criticism.,3086.0,10288.0,4320,192,0.6862684598444659,45,,The best-selling author is impervious to criticism.,False,False,True,51.0,0.0,False,True,The best-selling author is impervious to criticism.,10
這位暢銷作家完全不受批的影響,2205.5,10575.0,2537,158,0.9522529336779068,45,這位暢銷作家完全不受批的影響,,False,True,False,14.0,14.0,True,False,這位暢銷作家完全不受批的影響,10
Part1通用學術字：依字首分類,6051.5,208.0,2571,192,0.8628346701940776,46,通用學術字依字首分類,Part1：,False,True,True,16.0,10.0,False,False,Part1通用學術字：依字首分類,10
MP3004,988.5,461.0,765,202,0.950499451599562,46,,MP3004,False,False,True,6.0,0.0,False,False,MP3004,10
insatiable [in se[1b!],1337.5,1209.5,1943,237,0.9150028377445693,46,,insatiable [in se[1b!],True,False,True,22.0,0.0,False,False,insatiable,11
in / sati / able,2171.5,1586.5,1211,225,0.8306116449573216,46,,in / sati / able,False,False,True,16.0,0.0,False,False,in / sati / able,11
無法满足的,4491.5,1743.5,915,203,0.8932470245678769,46,無法满足的,,False,True,False,5.0,5.0,False,False,無法满足的,11
形,3897.0,1749.5,160,169,0.8826235632306114,46,形,,False,True,False,1.0,1.0,False,False,形,11
not / enough / able,2131.5,1856.0,1523,250,0.8601560777697285,46,,not / enough / able,False,False,True,19.0,0.0,False,False,not / enough / able,11
The country's insatiable demands for oil and steel have driven up prices.,3806.0,2278.0,6080,192,0.8821074048204622,46,,The country's insatiable demands for oil and steel have driven up prices.,False,False,True,73.0,0.0,False,True,The country's insatiable demands for oil and steel have driven up prices.,11
該國對石油與鐵無止的需求，導致價格上涨。,2566.0,2542.5,3554,157,0.8483623398254471,46,該國對石油與鐵無止的需求導致價格上涨,，。,False,True,False,20.0,18.0,True,False,該國對石油與鐵無止的需求，導致價格上涨。,11
insensate [1n sen set],1302.5,3015.5,1897,225,0.8740568859961709,46,,insensate [1n sen set],True,False,True,22.0,0.0,False,False,insensate,11
in / sens / ate,2160.0,3380.75,1192,262,0.8763104250896864,46,,in / sens / ate,False,False,True,15.0,0.0,False,False,in / sens / ate,11
無知覺的；不講理的,4851.5,3543.5,1611,157,0.7845208815128819,46,無知覺的不講理的,；,False,True,False,9.0,8.0,False,False,無知覺的；不講理的,11
insensate [1n sen set],1302.5,3015.5,1897,225,0.8740568859961709,46,,insensate [1n sen set],True,False,True,22.0,0.0,False,False,insensate,12
in / sens / ate,2160.0,3380.75,1192,262,0.8763104250896864,46,,in / sens / ate,False,False,True,15.0,0.0,False,False,in / sens / ate,12
無知覺的；不講理的,4851.5,3543.5,1611,157,0.7845208815128819,46,無知覺的不講理的,；,False,True,False,9.0,8.0,False,False,無知覺的；不講理的,12
形,3903.0,3549.5,172,169,0.7805257168602039,46,形,,False,True,False,1.0,1.0,False,False,形,12
not/feel/形容字尾,2405.5,3650.5,1657,191,0.7936622017208655,46,形容字尾,not/feel/,False,True,True,13.0,4.0,False,False,not/feel/形容字尾,12
Rocks are insensate objects.,1943.0,4072.5,2424,227,0.9865375243193868,46,,Rocks are insensate objects.,False,False,True,28.0,0.0,False,False,Rocks are insensate objects.,12
岩石是有知覺的物體。,1680.0,4348.0,1806,192,0.9152524252980948,46,岩石是有知覺的物體,。,False,True,False,10.0,9.0,False,False,岩石是有知覺的物體。,12
 He's an insensate boss who refuses to allow time off for funerals.,3514.25,4730.5,5566,237,0.8518271510482124,46,, He's an insensate boss who refuses to allow time off for funerals.,False,False,True,67.0,0.0,False,True, He's an insensate boss who refuses to allow time off for funerals.,12
他是個不講理的老，員工請假都不准。,2326.0,5006.5,3074,157,0.8411114234689814,46,他是個不講理的老員工請假都不准,，。,False,True,False,17.0,15.0,True,False,他是個不講理的老，員工請假都不准。,12
irrepressible [1r1 prεsab!],1543.0,5484.0,2354,236,0.9405104501392274,46,,irrepressible [1r1 prεsab!],True,False,True,27.0,0.0,False,False,irrepressible,12
irrepressible [1r1 prεsab!],1543.0,5484.0,2354,236,0.9405104501392274,46,,irrepressible [1r1 prεsab!],True,False,True,27.0,0.0,False,False,irrepressible,13
ir /re / press / ible,2171.25,5855.5,1625,261,0.7853957468711356,46,,ir /re / press / ible,False,False,True,21.0,0.0,False,False,ir /re / press / ible,13
壓抑不住的,4497.5,6002.0,903,192,0.9120958230158176,46,壓抑不住的,,False,True,False,5.0,5.0,False,False,壓抑不住的,13
形,3903.0,6013.5,172,169,0.7915254230790446,46,形,,False,True,False,1.0,1.0,False,False,形,13
not / back / press/ able,1988.5,6119.5,1851,225,0.9019978631421348,46,,not / back / press/ able,False,False,True,24.0,0.0,False,False,not / back / press/ able,13
 The kid's curiosity is irrepressible.,2228.5,6525.0,2973,248,0.9913059801800546,46,, The kid's curiosity is irrepressible.,False,False,True,38.0,0.0,False,True, The kid's curiosity is irrepressible.,13
這個小孩按捺不住他的好奇心。,1903.0,6778.0,2274,192,0.9419731997326016,46,這個小孩按捺不住他的好奇心,。,False,True,False,14.0,13.0,True,False,這個小孩按捺不住他的好奇心。,13
irreversible [1r1 v3sab!],1468.5,7244.5,2229,225,0.8445296679815391,46,,irreversible [1r1 v3sab!],True,False,True,25.0,0.0,False,False,irreversible,13
ir / re / vers /ible,2171.5,7627.5,1531,225,0.903926526350374,46,,ir / re / vers /ible,False,False,True,20.0,0.0,False,False,ir / re / vers /ible,13
無法逆轉的,4491.5,7785.0,937,202,0.8813815016852793,46,無法逆轉的,,False,True,False,5.0,5.0,False,False,無法逆轉的,13
irreversible [1r1 v3sab!],1468.5,7244.5,2229,225,0.8445296679815391,46,,irreversible [1r1 v3sab!],True,False,True,25.0,0.0,False,False,irreversible,14
ir / re / vers /ible,2171.5,7627.5,1531,225,0.903926526350374,46,,ir / re / vers /ible,False,False,True,20.0,0.0,False,False,ir / re / vers /ible,14
無法逆轉的,4491.5,7785.0,937,202,0.8813815016852793,46,無法逆轉的,,False,True,False,5.0,5.0,False,False,無法逆轉的,14
形,3908.5,7791.0,205,214,0.9066910622637068,46,形,,False,True,False,1.0,1.0,False,False,形,14
not / back / turn / able,1983.0,7903.5,1748,191,0.823953049384704,46,,not / back / turn / able,False,False,True,24.0,0.0,False,False,not / back / turn / able,14
Aging is anirreversible process; one can only try to slow it down.,3560.0,8319.5,5542,191,0.8767640868898522,46,,Aging is anirreversible process; one can only try to slow it down.,False,False,True,66.0,0.0,False,True,Aging is anirreversible process; one can only try to slow it down.,14
老化是無法逆轉的過程，我們只能設法延缓它的速度。,2743.0,8583.5,3886,157,0.920434677021371,46,老化是無法逆轉的過程我們只能設法延缓它的速度,，。,False,True,False,24.0,22.0,True,False,老化是無法逆轉的過程，我們只能設法延缓它的速度。,14
non-: not,903.0,9472.5,1124,297,0.9155441164202466,46,,non-: not,False,False,True,9.0,0.0,False,False,non-: not,14
nonalcoholic [nan alk halik],1748.5,9962.0,2743,192,0.8350767185421712,46,,nonalcoholic [nan alk halik],True,False,True,28.0,0.0,False,False,nonalcoholic,14
non/alcohol /ic,2171.5,10333.5,1485,191,0.8304232342374812,46,,non/alcohol /ic,False,False,True,15.0,0.0,False,False,non/alcohol /ic,14
nonalcoholic [nan alk halik],1748.5,9962.0,2743,192,0.8350767185421712,46,,nonalcoholic [nan alk halik],True,False,True,28.0,0.0,False,False,nonalcoholic,15
non/alcohol /ic,2171.5,10333.5,1485,191,0.8304232342374812,46,,non/alcohol /ic,False,False,True,15.0,0.0,False,False,non/alcohol /ic,15
形不含酒精的,4382.5,10485.0,1177,226,0.6641773672342193,46,形不含酒精的,,False,True,False,6.0,6.0,False,False,形不含酒精的,15
not/alcohol/形容字尾,2514.5,10580.5,1943,191,0.9374210395056892,46,形容字尾,not/alcohol/,False,True,True,16.0,4.0,False,False,not/alcohol/形容字尾,15
MP3005,1303.0,315.0,732,202,0.8683618537718908,47,,MP3005,False,False,True,6.0,0.0,False,False,MP3005,15
Minors can only buy nonalcoholic drinks.,2880.0,1063.25,3658,237,0.6595904976129532,47,,Minors can only buy nonalcoholic drinks.,False,False,True,40.0,0.0,False,True,Minors can only buy nonalcoholic drinks.,15
未成年人只能購買不含酒精的飲料。,2411.5,1355.5,2675,191,0.8797519015082604,47,未成年人只能購買不含酒精的飲料,。,False,True,False,16.0,15.0,True,False,未成年人只能購買不含酒精的飲料。,15
nonfiction [nan fikfon],1748.5,2081.5,2195,225,0.8878234343854643,47,,nonfiction [nan fikfon],True,False,True,23.0,0.0,False,False,nonfiction,15
图非小,4588.5,2492.0,835,236,0.825565532730506,47,图非小,,False,True,False,3.0,3.0,False,False,图非小,15
non / fict / ion,2502.5,2621.5,1303,225,0.841513244457783,47,,non / fict / ion,False,False,True,16.0,0.0,False,False,non / fict / ion,15
nonfiction [nan fikfon],1748.5,2081.5,2195,225,0.8878234343854643,47,,nonfiction [nan fikfon],True,False,True,23.0,0.0,False,False,nonfiction,16
图非小,4588.5,2492.0,835,236,0.825565532730506,47,图非小,,False,True,False,3.0,3.0,False,False,图非小,16
non / fict / ion,2502.5,2621.5,1303,225,0.841513244457783,47,,non / fict / ion,False,False,True,16.0,0.0,False,False,non / fict / ion,16
fiction名小,4868.5,2778.5,1395,225,0.8550360444037624,47,名小,fiction,False,True,True,9.0,2.0,False,False,fiction名小,16
not/make/名字尾,2725.5,2896.5,1657,191,0.9313702085889928,47,名字尾,not/make/,False,True,True,12.0,3.0,False,False,not/make/名字尾,16
fictional形小的，虚構的,5474.0,3065.5,2126,191,0.8628864026056059,47,形小的虚構的,fictional，,False,True,True,16.0,6.0,False,False,fictional形小的，虚構的,16
"Which do you prefer, fiction or nonfiction?",2960.0,3487.5,3772,225,0.8371907263659073,47,,"Which do you prefer, fiction or nonfiction?",False,False,True,43.0,0.0,False,True,"Which do you prefer, fiction or nonfiction?",16
你喜歡小還是非小？,2000.0,3763.5,1828,191,0.9277586621801472,47,你喜歡小還是非小,？,False,True,False,9.0,8.0,False,False,你喜歡小還是非小？,16
nonpartisan[nan partozn],1926.0,4258.0,2526,236,0.9632844260937544,47,,nonpartisan[nan partozn],True,False,True,24.0,0.0,False,False,nonpartisan,16
